thibMetrics_1,thibMetrics_2,thibMetrics_3,thibMetrics_4,thibMetrics_5
41.101725029,41.269379845,44.0523255814,2,4.95469122185268
57.8053227233,42.4747252747,14.9765567766,2,1.64287837971735
31.8299209879,43.1229135053,24.0652503794,2,3.2282171549463
53.3648613102,43.9914425428,34.6607579462,2,4.50194125064555
53.6323436274,44.1004016064,19.0374832664,2,2.63476021783438
39.6024339454,49.3603896104,9.40422077922,2,1.09277482417736
54.8384283279,49.6072971675,31.2870859337,2,6
45.1288828177,50.0501070664,42.7635974304,2,3.46629571107568
33.1135753977,51.6103752759,42.1953642384,2,4.11320668002072
44.8336048445,51.6706096451,6.19381255687,2,1.19879761656718
57.3010950347,53.4616451017,18.1293900185,2,1.61396615258849
51.0427077301,53.7022900763,21.5852417303,2,1.17087173138071
32.1211209036,55.5045492142,32.4251447477,2,4.41003827998641
40.7712845171,55.5253984064,45.6329681275,2,4.12626202257983
46.0942066285,58.6958211856,21.1146744412,2,5.29792918408303
50.2690043153,58.9506314581,2.803673938,2,1.00647584589779
54.9848005532,59.2105742935,28.4548769371,2,3.61207188575474
56.2848086452,60.1397743992,6.17753800883,2,1.00881321515945
39.559268316,62.5734072022,2.16897506925,2,1.00005410685405
51.0708847153,62.7717454758,37.9929947461,2,4.4751442646733
53.8852147611,65.8570175439,26.4359649123,2,3.70313953370349
52.8493817144,67.5076252723,11.2864923747,2,1.00964446925014
38.6624988804,68.427390791,45.3429752066,2,2.63849551580729
46.2654739196,70.3596757852,14.7082066869,2,1.40117074491618
46.0571508124,70.6193433895,39.2688553682,2,5.31234014314356
33.9190871709,70.6199901039,42.028698664,2,3.38740024924656
52.5648486283,71.6071700992,23.7490465294,2,2.38135625388656
43.2211751439,73.8640275387,3.23580034423,2,1.00007677857367
41.5131620177,76.4585987261,10.6910828025,2,1.01687863621512
31.7978203491,77.8333333333,29.4742798354,2,1.85344161022177
31.4008429119,78.748403576,9.24648786718,2,1.00014732175639
51.4326602104,80.441332324,18.6071158213,2,1.18755465751683
48.6910022468,80.9259915014,29.9854815864,2,2.64465274294119
31.6901149425,82.2777777778,18.5938697318,2,1.04102739066308
37.2153316063,85.9953289218,37.0599455041,2,2.56768318086044
38.4236888533,86.2055813953,10.4706976744,2,1.00288456045929
48.9555797492,87.8787515006,13.8091236495,2,1.00036059124016
32.0558344433,90.4635193133,13.2947067239,2,1.00154083026566
42.7926827063,93.5738440304,21.1349206349,2,1.16979442443329
33.5271440681,93.6066863324,25.8859390364,2,1.46399082171504
32.6180205797,98.298405467,12.7357630979,2,1.00000745512457
